REGISTRO;P0;P1;P2;P3;P3A;P4;P5A_1;P5B_1;P5A_2;P5B_2;P5A_3;P5B_3;P5A_4;P5B_4;P5A_5;P5B_5;P6;P7;P8;P9;P10;D1;D2;D3;D4;D5;D6;CA;AUT;HABI;POND
1066;1;2;1;99;13;13;1;2;1;2;1;8;1;10;1;0;5;1;1;2;2;1;4;2;4;1;6;10;10;1;1,13069
1068;1;3;4;97;2;2;1;0;2;;1;10;1;5;2;;2;1;2;2;1;1;3;1;4;3;6;12;12;3;0,94317
1071;1;1;1;98;4;4;1;1;1;6;1;7;1;6;1;0;4;98;2;1;1;3;3;1;1;5;1;13;13;4;0,99471
1078;1;1;1;98;4;1;1;7;1;8;1;2;1;1;1;5;4;2;98;1;1;4;1;2;3;5;6;13;13;3;0,97758
1085;1;1;1;2;;2;1;0;1;0;1;10;1;0;1;0;2;2;2;1;1;2;3;1;2;5;1;1;1;1;1,14043
1101;1;1;1;98;13;13;1;3;1;3;1;5;2;;1;98;2;1;2;1;1;1;3;1;4;2;6;10;10;2;0,96954
1102;1;4;4;97;97;97;1;0;1;0;1;0;1;0;1;0;97;1;98;1;98;99;99;1;3;4;1;9;9;1;0,99576
1108;1;1;1;4;;4;1;4;1;6;1;5;1;3;1;2;4;2;2;2;1;2;3;2;3;5;1;13;13;2;0,94898
1112;1;1;1;5;;5;1;1;1;3;1;5;1;8;1;0;5;1;2;2;1;1;3;1;3;5;1;1;1;3;0,95498
1125;1;2;1;4;;4;1;4;1;8;1;4;1;4;1;4;4;2;96;98;1;3;3;1;2;5;1;21;4;2;1,00985
1134;1;1;1;14;;5;1;7;1;3;1;0;1;0;1;9;14;2;2;1;1;5;3;1;2;2;1;21;2;4;1,00174
1137;1;3;1;4;;4;1;6;1;8;1;6;1;3;1;98;4;2;2;1;1;1;1;2;4;2;6;13;13;3;1,00115
1142;1;2;1;4;;4;1;7;1;10;1;0;1;0;1;7;4;2;1;1;2;2;1;2;4;1;6;10;10;2;1,00501
1158;1;2;2;14;;4;1;7;1;8;1;3;1;0;2;;1;2;2;1;1;98;1;1;3;3;1;7;7;2;0,89187
1165;1;1;1;2;;2;1;3;1;3;1;5;1;3;1;10;97;1;96;2;1;2;3;2;2;5;1;13;13;4;0,99318
1171;1;1;1;14;;2;1;0;1;3;1;10;1;2;1;7;2;2;2;2;1;2;2;1;4;2;6;7;7;1;1,02079
1177;1;1;1;98;7;6;1;0;1;0;1;2;1;5;1;2;5;1;1;2;2;1;5;2;3;4;1;9;9;2;0,91145
1181;1;1;1;98;4;2;1;0;1;1;1;0;1;0;1;0;4;2;1;1;2;1;3;2;2;3;5;1;1;3;1,03754
